DLiP-ID	DLiP-Mol-ID	Vendor-ID	Standard Inchi(RDKit)	Standard Inchi Key(RDKit)	Canonical SMILES(RDKit)	SMILES(SDF)	MW(SDF)	MW(RDKit)	MW Monoisotopic(RDKit)	MolLogP(RDKit)	XLogP(SDF)	XLogP(CDK)	ALogP(SDF)	Num H Acceptors(SDF)	nHAcceptors(SDF)	HBA(RDKit)	HBA Lipinski(RDKit)	Num H Donors(SDF)	nHDonors(SDF)	HBD(RDKit)	HBD Lipinski(RDKit)	PSA(SDF)	PSA(RDKit)	RO3 Pass	Num RO5 Violations	Num Lipinski RO5 Violations	nBonds(SDF)	nRigidBonds(SDF)	nRotatableBonds(SDF)	nRotatableBonds(RDKit)	nRings(SDF)	nRings(RDKit)	Aromatic Rings(RDKit)	nAtoms(SDF)	Heavy Atoms(RDKit)	QED Weighted(RDKit)	Molecular Formula(SDF)	PPI Type(SDF)	PDB ID(SDF)	Receptor Chain(SDF)	Protein Name Receptor(SDF)	Peptide Chain(SDF)	Protein Name Peptide(SDF)	ELM ID(SDF)	Motif Sequence(SDF)	Physical Form Apperance(SDF)	Quantity of Sample mg(SDF)	Box Num(SDF)	Box Position(SDF)	fCsp3(SDF)	nCarbons(SDF)	nHetAtoms(SDF)	nHalide(SDF)	Year(SDF)	error
J00000	24584		InChI=1S/C20H22F3N3O/c21-20(22,23)16-7-4-8-18(13-16)25-19(27)24-17-9-11-26(12-10-17)14-15-5-2-1-3-6-15/h1-8,13,17H,9-12,14H2,(H2,24,25,27)	MXZRHPHRSQJCML-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)NC1CCN(Cc2ccccc2)CC1		None	377.41	377.171496984	4.4915	None	3.947	None	None	None	2	4	None	None	2	2	None	44.37		0	0	None	None	None	4	None	3	2	None	27	0.824527352246266											None			None	None	None	None		
J00001	26677		InChI=1S/C21H24F3N3O/c1-15-5-2-3-6-16(15)14-27-11-9-18(10-12-27)25-20(28)26-19-8-4-7-17(13-19)21(22,23)24/h2-8,13,18H,9-12,14H2,1H3,(H2,25,26,28)	NTVLCEYGKMDMPJ-UHFFFAOYSA-N	Cc1ccccc1CN1CCC(NC(=O)Nc2cccc(C(F)(F)F)c2)CC1		None	391.437	391.187147048	4.79992	None	4.384	None	None	None	2	4	None	None	2	2	None	44.37		0	0	None	None	None	4	None	3	2	None	28	0.78639425012327											None			None	None	None	None		
J00002	26678		InChI=1S/C20H21ClF3N3O/c21-18-7-2-1-4-14(18)13-27-10-8-16(9-11-27)25-19(28)26-17-6-3-5-15(12-17)20(22,23)24/h1-7,12,16H,8-11,13H2,(H2,25,26,28)	WSXXWFWKCZIWBN-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)NC1CCN(Cc2ccccc2Cl)CC1		None	411.855	411.132524632	5.1449	None	4.569	None	None	None	2	4	None	None	2	2	None	44.37		1	1	None	None	None	4	None	3	2	None	28	0.730798632428519											None			None	None	None	None		
J00003	26680		InChI=1S/C20H21F4N3O/c21-18-7-2-1-4-14(18)13-27-10-8-16(9-11-27)25-19(28)26-17-6-3-5-15(12-17)20(22,23)24/h1-7,12,16H,8-11,13H2,(H2,25,26,28)	AXQWAOFRIRMEQQ-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)NC1CCN(Cc2ccccc2F)CC1		None	395.4	395.162075172	4.6306	None	4.108	None	None	None	2	4	None	None	2	2	None	44.37		0	0	None	None	None	4	None	3	2	None	28	0.741704872362743											None			None	None	None	None		
J00004	26681		InChI=1S/C21H24F3N3O/c1-15-4-2-5-16(12-15)14-27-10-8-18(9-11-27)25-20(28)26-19-7-3-6-17(13-19)21(22,23)24/h2-7,12-13,18H,8-11,14H2,1H3,(H2,25,26,28)	BPXTVKJDWFUPCM-UHFFFAOYSA-N	Cc1cccc(CN2CCC(NC(=O)Nc3cccc(C(F)(F)F)c3)CC2)c1		None	391.437	391.187147048	4.79992	None	4.384	None	None	None	2	4	None	None	2	2	None	44.37		0	0	None	None	None	4	None	3	2	None	28	0.78639425012327											None			None	None	None	None		
J00005	26683		InChI=1S/C20H21ClF3N3O/c21-16-5-1-3-14(11-16)13-27-9-7-17(8-10-27)25-19(28)26-18-6-2-4-15(12-18)20(22,23)24/h1-6,11-12,17H,7-10,13H2,(H2,25,26,28)	VKWPMMIKZVOWQM-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)NC1CCN(Cc2cccc(Cl)c2)CC1		None	411.855	411.132524632	5.1449	None	4.569	None	None	None	2	4	None	None	2	2	None	44.37		1	1	None	None	None	4	None	3	2	None	28	0.730798632428519											None			None	None	None	None		
J00006	26684		InChI=1S/C20H21F4N3O/c21-16-5-1-3-14(11-16)13-27-9-7-17(8-10-27)25-19(28)26-18-6-2-4-15(12-18)20(22,23)24/h1-6,11-12,17H,7-10,13H2,(H2,25,26,28)	JZFLJMORWHRDSI-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)NC1CCN(Cc2cccc(F)c2)CC1		None	395.4	395.162075172	4.6306	None	4.108	None	None	None	2	4	None	None	2	2	None	44.37		0	0	None	None	None	4	None	3	2	None	28	0.741704872362743											None			None	None	None	None		
J00007	26686		InChI=1S/C21H24F3N3O/c1-15-5-7-16(8-6-15)14-27-11-9-18(10-12-27)25-20(28)26-19-4-2-3-17(13-19)21(22,23)24/h2-8,13,18H,9-12,14H2,1H3,(H2,25,26,28)	LYQSVWZURIPXOS-UHFFFAOYSA-N	Cc1ccc(CN2CCC(NC(=O)Nc3cccc(C(F)(F)F)c3)CC2)cc1		None	391.437	391.187147048	4.79992	None	4.384	None	None	None	2	4	None	None	2	2	None	44.37		0	0	None	None	None	4	None	3	2	None	28	0.786394250123269											None			None	None	None	None		
J00008	26687		InChI=1S/C20H21ClF3N3O/c21-16-6-4-14(5-7-16)13-27-10-8-17(9-11-27)25-19(28)26-18-3-1-2-15(12-18)20(22,23)24/h1-7,12,17H,8-11,13H2,(H2,25,26,28)	XBFANBVJNPHYGC-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)NC1CCN(Cc2ccc(Cl)cc2)CC1		None	411.855	411.132524632	5.1449	None	4.569	None	None	None	2	4	None	None	2	2	None	44.37		1	1	None	None	None	4	None	3	2	None	28	0.730798632428519											None			None	None	None	None		
J00009	26689		InChI=1S/C20H21F4N3O/c21-16-6-4-14(5-7-16)13-27-10-8-17(9-11-27)25-19(28)26-18-3-1-2-15(12-18)20(22,23)24/h1-7,12,17H,8-11,13H2,(H2,25,26,28)	QDAWMLWWRYGWFZ-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)NC1CCN(Cc2ccc(F)cc2)CC1		None	395.4	395.162075172	4.6306	None	4.108	None	None	None	2	4	None	None	2	2	None	44.37		0	0	None	None	None	4	None	3	2	None	28	0.741704872362743											None			None	None	None	None		
