2P2IDB_ID;Family;UniProt;Class;Target;Partner;SuperFamily;SuperFamily_ID;Target_ID;Source;ExpData;PDBProtProt;InstanceID;PDBProtLig;Ligand;ChainID;ResidueNumber;Atoms;HeavyAtoms;MissingHeavyAtoms;MolecularWeight;ObservedFormula;Formula;Type;Covalent;Deposition_Date;Modified_Date;2P2IDB_Date;Name;SystematicName;InChI;InChIKey;SMILES;SDF
10101-0011;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;6GL8_F3Q;6GL8;F3Q;A;301;95;53;0;710.817;C43 N4 O6;C43 H42 N4 O6;non-polymer;na;2018-05-23;2018-11-14;2022-05-01;VYXJULKGMXJVGI-XIFFEERXSA-N;C1CCCn2c1c(cc2c1cc2c(OCO2)cc1C(=O)N1[C@@H](Cc2c(C1)cccc2)CN1CCOCC1)C(=O)N(c1ccc(cc1)O)c1ccccc1;6GL8_F3Q_A_301
10101-0012;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;6O0K_LBM;6O0K;LBM;A;301;109;59;0;868.439;C45 Cl N7 O7 S;C45 H50 Cl N7 O7 S;non-polymer;na;2019-02-16;2019-12-11;2022-05-01;LQBVNQSMGBZMKD-UHFFFAOYSA-N;c1cc(C2=C(CN3CCN(CC3)c3cc(c(cc3)C(=O)NS(=O)(=O)c3cc(c(cc3)NCC3CCOCC3)[N+](=O)[O-])Oc3cnc4c(c3)cc[nH]4)CCC(C)(C)C2)ccc1Cl;6O0K_LBM_A_301
10101-0013;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;6O0L_LBM;6O0L;LBM;A;301;109;59;0;868.439;C45 Cl N7 O7 S;C45 H50 Cl N7 O7 S;non-polymer;na;2019-02-16;2019-12-11;2022-05-01;LQBVNQSMGBZMKD-UHFFFAOYSA-N;c1cc(C2=C(CN3CCN(CC3)c3cc(c(cc3)C(=O)NS(=O)(=O)c3cc(c(cc3)NCC3CCOCC3)[N+](=O)[O-])Oc3cnc4c(c3)cc[nH]4)CCC(C)(C)C2)ccc1Cl;6O0L_LBM_A_301
10101-0014;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;6O0M_LBM;6O0M;LBM;A;301;109;59;0;868.439;C45 Cl N7 O7 S;C45 H50 Cl N7 O7 S;non-polymer;na;2019-02-16;2019-12-11;2022-05-01;LQBVNQSMGBZMKD-UHFFFAOYSA-N;c1cc(C2=C(CN3CCN(CC3)c3cc(c(cc3)C(=O)NS(=O)(=O)c3cc(c(cc3)NCC3CCOCC3)[N+](=O)[O-])Oc3cnc4c(c3)cc[nH]4)CCC(C)(C)C2)ccc1Cl;6O0M_LBM_A_301
10101-0015;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;6O0O_F3Q;6O0O;F3Q;A;201;95;53;0;710.817;C43 N4 O6;C43 H42 N4 O6;non-polymer;na;2019-02-17;2019-07-10;2022-05-01;VYXJULKGMXJVGI-XIFFEERXSA-N;C1CCCn2c1c(cc2c1cc2c(OCO2)cc1C(=O)N1[C@@H](Cc2c(C1)cccc2)CN1CCOCC1)C(=O)N(c1ccc(cc1)O)c1ccccc1;6O0O_F3Q_A_201
10101-0016;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;6O0P_LBM;6O0P;LBM;A;301;109;59;0;868.439;C45 Cl N7 O7 S;C45 H50 Cl N7 O7 S;non-polymer;na;2019-02-17;2019-12-11;2022-05-01;LQBVNQSMGBZMKD-UHFFFAOYSA-N;c1cc(C2=C(CN3CCN(CC3)c3cc(c(cc3)C(=O)NS(=O)(=O)c3cc(c(cc3)NCC3CCOCC3)[N+](=O)[O-])Oc3cnc4c(c3)cc[nH]4)CCC(C)(C)C2)ccc1Cl;6O0P_LBM_A_301
10101-0017;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;7LHB_XZD;7LHB;XZD;A;4000;117;64;0;978.445;C46 Cl N7 O11 P S;C46 H53 Cl N7 O11 P S;non-polymer;na;2021-01-21;2022-04-13;2022-05-01;CLQLTQZFOGFNCT-UHFFFAOYSA-N;N(C(=O)c1ccc(cc1Oc1cc2c(n(c1)COP(=O)(O)O)ncc2)N1CCN(CC1)CC1=C(c2ccc(cc2)Cl)CC(CC1)(C)C)S(=O)(=O)c1cc(c(cc1)NCC1CCOCC1)[N+](=O)[O-];7LHB_XZD_A_4000
10101-0018;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;SOLUTION NMR;2XA0;8U27_ULL;8U27;ULL;A;201;56;32;0;506.391;C26 Br N3 O3;C26 H24 Br N3 O3;non-polymer;na;2023-09-05;2023-11-08;2024-01-25;RWCWONWFSWXBCW-DEOSSOPVSA-N;C1(=NN([C@H](c2ccccc2)C1)C(=O)c1ccc(Br)cc1)c1ccc(cc1)NC(=O)OC(C)C;8U27_ULL_A_201
10101-0019;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;8HOG_98I;8HOG;98I;A;301;122;63;0;890.100;C49 N7 O7 S;C49 H59 N7 O7 S;non-polymer;na;2022-12-10;2024-05-15;2024-09-20;ZQTKOYMWCCSKON-XKXNWSITSA-N;c1cc(c(cc1N1CC[C@]2(CC1)C[C@H](C2)N1CCC[C@H]1c1c(cccc1)C(C)C)Oc1cc2c(nc1)[nH]cc2)C(=O)NS(=O)(=O)c1ccc(c(c1)[N+](=O)[O-])NC[C@@H]1CC[C@@](CC1)(C)O;8HOG_98I_A_301
10101-0020;BCL2/BAX;P10415;1;BCL2;BAX;BCL;101;10101;Homo sapiens;X-RAY DIFFRACTION;2XA0;8HOH_98I;8HOH;98I;A;301;122;63;0;890.100;C49 N7 O7 S;C49 H59 N7 O7 S;non-polymer;na;2022-12-10;2024-05-15;2024-09-20;ZQTKOYMWCCSKON-XKXNWSITSA-N;c1cc(c(cc1N1CC[C@]2(CC1)C[C@H](C2)N1CCC[C@H]1c1c(cccc1)C(C)C)Oc1cc2c(nc1)[nH]cc2)C(=O)NS(=O)(=O)c1ccc(c(c1)[N+](=O)[O-])NC[C@@H]1CC[C@@](CC1)(C)O;8HOH_98I_A_301
